Original_Description,Manual_Category_Selected,Manual_Subcategory_Selected,
"Tennis%20Ball,%20Wilson",Sporting Goods and Outdoors,Unopened Golf or Tennis Balls,
"toy%20truck,%20Tonka",Toys and Games,"Radio Controlled Cars, Boats Etc.",
1 small scissors,Personal Care and Beauty,Scissors,
Spider%20man%20umbrella,Clothing and Accessories,Umbrella,
bed%20rest%20reading%20pillow,Housewares Home Decor,Pillow - Accent,
"Ice Chests RTIC @ 230, Coleman @ 115, Igloo @ 93: 5 years old",Sporting Goods and Outdoors,Boating Equipment and Supplies,
%22The%20Lizzie%20McGuire%20Movie%22%20DVD,Electronics,"DVD, Blu-Ray Player & DVR",
Electric Toothbrushes Waterpic Sonic Fusion 2,Personal Care and Beauty,"Appliances-Curling Irons, Hair Dryer Etc.",
privacy ornamental screen 3 fold,Housewares Home Decor,"Room Dividers, Folding Screens",
Lysol%20Spray,Housewares Home Decor,"House-keeping items, Mops, Brooms, Pails Etc.",
Kroger%20Denture%20Adhesive,Personal Care and Beauty,Dentures,
Grease%20guns,Tools,Pneumatic Tools - Under $200,
Broom with Clip-On Dust Pan Set,Housewares Home Decor,"House-keeping items, Mops, Brooms, Pails Etc.",
10 Ft.step Ladder,Tools,Ladders,
wall art,Housewares Home Decor,"Paintings, Pictures, Signed & Numbered, Prints, Etchings Etc. Under $1000",
PLANK AND HYDE POOL TABLE,Sporting Goods and Outdoors,Pool & Billiard Tables Expensive Hardwood,
Topix Hair Fiber,Personal Care and Beauty,Barber Equipment,
Basic AR,Sporting Goods and Outdoors,Firearms and Accessories,
Rug,Housewares Home Decor,Rugs Under $500,
"11"" Decorative Coiled Rope Basket Gray Charcoal - Brightroom",Housewares Home Decor,Hampers,
Purple iPhone 12,Electronics,Mobile Telephones,
Pork Loins-No Bone,Food Supplies,Canned - Commercial & Home,
Cooking%20wine,Food Supplies,Alcoholic Beverages,
Ladies' wig - Stock - High grade,Personal Care and Beauty,"Wigs, Hairpieces - Over $250",
Antique Cherry Library Table,Furniture,Hardwood Furniture,
Solid Wood 7-Drawer Vanity/Desk,Furniture,Hardwood Furniture,
shower%20curtain%20%26%20liner%20set,Housewares Home Decor,Curtains & Draperies,
PlayStation 4 Launch Edition 500GB Console,Electronics,Video Game Console,
Xbox%20360%20Controller,Electronics,Video Game Console,
decorative%20pillow,Housewares Home Decor,Pillow - Accent,
Work Pants  B,Clothing and Accessories,Work Uniform,
"Royal%20Dutch%20mantel%20clock%20w/%20blue%20%26%20white%20design%20approx%2024%22%20tall%20-%20Dutch,%20antique",Housewares Home Decor,Grandfather Clock,
section%20of%20pallet%20racking%20with%20grates,Tools,Work Benches - Over $500,
Plant (stand up aritifical),Housewares Home Decor,Artificial Flowers and Fruits,
LA%20girl%20-%20Pro%20concealer%20Make%20up,Personal Care and Beauty,Cosmetics / Makeup,
Scissors%20Metal,Personal Care and Beauty,Scissors,
Lasko%20Oscillating%20Space%20Heater,Appliances,Minor Appliances Under $200,
patio%20door%20metal%20curtain%20rod%20-%2072%22,Housewares Home Decor,Traverse Rods,
NuRecover%20Portable%20Ice%20Bath,Appliances,"Hot Tub, Spa",
Panacea Products 15951 3 Panel Arch Screen with Double Bar for Fireplace,Housewares Home Decor,Fireplace Screens and Accessories,
Grease%20guns,Tools,Pneumatic Tools - Under $200,
Lamp%20%20Shade,Housewares Home Decor,Lamp Shade,
Koala Bear,Toys and Games,Stuffed Animals,
1 head softac,Sporting Goods and Outdoors,Unopened Golf or Tennis Balls,
IGT slot Machine Hawaiian Diamond 9643830,Toys and Games,"Electronic Games, Nintendo, Atari, Sony PlayStation, Handheld, Cartridges, Disks",
Vice%20Attached%20to%20Work%20Bench,Tools,Work Benches - Under $500,
Candle%20lighter%20Above%20fireplace,Personal Care and Beauty,Cigarette Lighter,
Wrapping%20paper%20rolls,Housewares Home Decor,Decorations - Holiday,
Bluey Dog Lovers Oh Biscuits Cartoon Bluey Dog Movie Lovers Cool T-Shirt Graphic Novelty Cotton Tee Short Sleeve for Unisex,Clothing and Accessories,"Men, Woman, Children, Nonbinary General Clothing and Accessories",
Abc%20Hot%20Cold%20Thermal%20Bag%20Lrg%20-%20EA,Sporting Goods and Outdoors,Camping Equipment & Supplies,
Battleship Board game,Toys and Games,Board Games,
dish washer Frigidaire,Appliances,Dishwasher,
Sony Playstation 4,Electronics,Video Game Console,
step ladder Ed Maxwell 4 step,Tools,Ladders,
Pillows\tfor\tChairs\tQty\t2,Housewares Home Decor,Pillow - Accent,
Bosch Dishwasher,Appliances,Dishwasher,
Metal%20scissors,Personal Care and Beauty,Scissors,
Gucci%20Fiber%20Bags,Clothing and Accessories,Handbags and Purses More than $150,
icy hot pain relieving cream 3oz 1/4 full,Personal Care and Beauty,Wheelchair,
microwave cart,Furniture,Microwave Cart and Stands,
Cleaning Solutions,Housewares Home Decor,"House-keeping items, Mops, Brooms, Pails Etc.",
rugs / floor coverings,Housewares Home Decor,Rugs $500-$999,
UAG Folio Ipad Pro 9.7-inch Case,Electronics,Electronic Accessories,
"Tool box, on wheels, 18 drawers with storage lock top, 28"" x 60""",Tools,"Tool chests, tool boxes and tool carts - Under $200",
VCR%20Player,Electronics,"DVD, Blu-Ray Player & DVR",
Sectional Couch,Housewares Home Decor,Lamp Shade,
Razor - Flash rider 360 Trike,Sporting Goods and Outdoors,Bicycles,
"Royal%20Dutch%20mantel%20clock%20w/%20blue%20%26%20white%20design%20approx%2024%22%20tall%20-%20Dutch,%20antique",Housewares Home Decor,Grandfather Clock,
1 rogue leather front pocket wallet,Clothing and Accessories,Handbags and Purses Less than $150,
porcelain doll,Toys and Games,Porcelain Dolls (Decoration Only),
green Wire 1250 ft 10/1 str sim pull THHN wire,Tools,"Specialty Tools - Woodworking, Engineering, Drafting",
Apple TV Fourth gen  32 gigs,Electronics,"TV, Stereos, Speakers, Amplifiers, Etc.",
8'.10%22x5'.11%22%20Handmade%20Rug%20Indian,Housewares Home Decor,"Rugs $1,000 or More",
tennis%20balls,Sporting Goods and Outdoors,Sporting Equipment and Supplies,
Metal%20golden%20container,Furniture,Military Display Cases,
Melted%20Together%20Tote%20With%20Family%20Pictures,Housewares Home Decor,"Paintings, Pictures, Signed & Numbered, Prints, Etchings Etc. Over $1000",
NuRecover%20Portable%20Ice%20Bath,Appliances,"Hot Tub, Spa",
Player's Club Professional table top poker NEW,Toys and Games,"Gaming Equipment, Poker Chips, Chess, Backgammon Etc.",
303 British WWII rifle,Sporting Goods and Outdoors,Collectable Firearm,
Stihl%20170%20Chain%20Saw,Tools,Hand Tools - Over $200,
Chanel blazer,Clothing and Accessories,Luxury Goods,
Ooh%20La%20La%20new%20biotex%20fake%20hair,Personal Care and Beauty,"Wigs, Hairpieces - Under $100",
Race Track Car Sets,Toys and Games,"Radio Controlled Cars, Boats Etc.",
Medium Persian rug,Housewares Home Decor,Rugs $500-$999,
Ooh%20La%20La%20new%20biotex%20fake%20hair,Personal Care and Beauty,"Wigs, Hairpieces - Under $100",
Samsung Pedestal Dryer,Appliances,Dryer - Electric or Gas,
Installation,Tools,Work Benches - Over $500,
women's%20western%20boots,Clothing and Accessories,"Fine Material Leather, Wool, Etc.",
Philips shaver9500,Personal Care and Beauty,Barber Equipment,
1%20Lisse%20skin%20therapy%20vibra%20device%20low%20energy%20light,Personal Care and Beauty,"Appliances-Curling Irons, Hair Dryer Etc.",
Hair brush / Comb,Personal Care and Beauty,"Brushes - Clothes, Hair",
Wood Top Round Alarm Table Clock - Capello,Housewares Home Decor,Clocks Under $25 New,
Clock,Housewares Home Decor,Clocks Under $25 New,
Floor Mat,Housewares Home Decor,"Carpet Runner, Mats & Outdoor",
X-ACTO® #2 Aluminum Knife,Personal Care and Beauty,Pocket Knife,
poker chips in case,Toys and Games,"Gaming Equipment, Poker Chips, Chess, Backgammon Etc.",
Marc Jacobs jacket,Clothing and Accessories,Luxury Goods,
Dueter FUTURA 32\nHiking backpack\nArt.No. 3400821-4409,Sporting Goods and Outdoors,Camping Equipment & Supplies,
Sherwin%20Williams%20Emerald%20Gallon%20Paint,Housewares Home Decor,Artificial Flowers and Fruits,
2 water dispensers,Appliances,Water Pumps,
10 pool sticks,Sporting Goods and Outdoors,Pool & Billiard Tables Low to Average Quality,
Generac portable generator,Appliances,Major Appliances Over $200 (except for below),
Nursing%20Uniforms,Clothing and Accessories,Umbrella,
NuRecover%20Portable%20Ice%20Bath,Appliances,"Hot Tub, Spa",
Theragun massage,Personal Care and Beauty,"Appliances-Curling Irons, Hair Dryer Etc.",
Leupold VX 5HD 3-15x44 CDS-ZL2 \n 30mm side focus Illum. Fire dot duplex  \n 172368 I have burned scope,Sporting Goods and Outdoors,Scope,
Razor 10 years old,Personal Care and Beauty,Razor - Steel,
"Sorbus 3-Tier Wire Market Basket Storage Stand for Fruit, Vegetables, Toiletries, Household Items, Stylish Tiered Serving Stand Baskets for Kitchen, Bathroom Organization (3 Tier)",Furniture,Metal Shelving,
Pottery%20Barn%20Blackout%20Drape%20Panels,Housewares Home Decor,Curtains & Draperies,
jackets,Clothing and Accessories,"Coats, Jackets, Suits",
Race Track Car Sets,Toys and Games,"Radio Controlled Cars, Boats Etc.",
Kenmore%20Electric%20Stove%20-%204%20Burner%20glass%20Top,Appliances,Major Appliances Over $200 (except for below),
Washer,Appliances,Washing Machine,
2 1.31 lb btl Comet cleanser,Food Supplies,Canned - Commercial & Home,
Framed artwork / print,Housewares Home Decor,"Paintings, Pictures, Signed & Numbered, Prints, Etchings Etc. Under $1000",
Candle holder / candlestick - High grade,Housewares Home Decor,Candles - Unused,
Bicycle%20Phone%20Holder,Sporting Goods and Outdoors,Bicycles,
"Fat Cat Original 3-in-1, 7-Foot Pockey Game Table",Sporting Goods and Outdoors,Pool & Billiard Tables Expensive Hardwood,
Workbench multiple systems,Tools,"Tool chests, tool boxes and tool carts - Over $200",
NuRecover%20Portable%20Ice%20Bath,Appliances,"Hot Tub, Spa",
bathroom scale healthometer,Personal Care and Beauty,Scales - Bathroom,
Window air conditioner/heater - High grade,Appliances,Major Appliances Over $200 (except for below),
Custom Canvas Old Time Print -,Housewares Home Decor,Pictures / Frames / Glass for Tabletops,
12%22%20x%2012%22%20x%2030%22%20metal%20shelf%20cart%20w/%20wheels,Furniture,Metal Shelving,
ashton drake oliver porcelain doll,Toys and Games,Porcelain Dolls (Decoration Only),
Titleist golf wedges (56 & 60),Sporting Goods and Outdoors,Sporting Equipment and Supplies,
Lelo Enigma,Personal Care and Beauty,Adult Toys,
"1 forged wrench 1/2"" 9/16'",Tools,Pneumatic Tools - Under $200,
5' pre-lit artificial Christmas tree,Housewares Home Decor,Decorations - Holiday,
metal/glass shade desk lamp,Housewares Home Decor,Lamp Shade Glass,
Underwear / Boxers - Men's - High grade,Clothing and Accessories,"Men, Woman, Children, Nonbinary General Clothing and Accessories",
Otter box for iPhone phonecase,Electronics,Mobile Telephones,
2 water dispensers,Appliances,Water Pumps,
Video%20Game,Electronics,Video Game Console,
Clock/Wooden Plaques wag,Housewares Home Decor,Clocks Over $25 New,
Pack%20of%20ciggarrettes,Personal Care and Beauty,"Pipes, Vapes, Supplies Smoking",
Small tool box (Carry),Tools,"Tool chests, tool boxes and tool carts - Under $200",
"Adult%20Cycling%20Bike%20Helmet,%20Lightweight%20Unisex%20Bike%20Helmet,Premium%20Quality%20Airflow%20Bike%20Helmet",Sporting Goods and Outdoors,Bicycles,
Garlic parmeasan,Food Supplies,Canned - Commercial & Home,
HOUSEHOLD%20ESSENTIALS%20H%206-Pair%20Gray%20Canvas%20Hanging%20Shoe%20Organizer,Housewares Home Decor,"Storage Containers, Plastic Tubs",
iPhone 12 Pro 128Gb (blue),Electronics,Mobile Telephones,
"Royal%20Dutch%20mantel%20clock%20w/%20blue%20%26%20white%20design%20approx%2024%22%20tall%20-%20Dutch,%20antique",Housewares Home Decor,Grandfather Clock,
Breastmilk%20(only%20estimating%20at%20low%20end%20%243%20an%20oz),Food Supplies,Canned - Commercial & Home,
Fur%20Jacket,Clothing and Accessories,Furs,
Fire Place Ash Bucket,Housewares Home Decor,Fireplace Screens and Accessories,
Brookstone%20Multi-Purpose%20Binoculars%20%7C%20Unisex%20%7C%20Black,Sporting Goods and Outdoors,Binoculars,
Health o meter Electronic Scale,Personal Care and Beauty,Scales - Bathroom,
Roll%20around%20tool%20box%20-%20Craftsman%20-%20small%20-%20base,Tools,"Tool chests, tool boxes and tool carts - Over $200",
Marvel%20matching%20game,Toys and Games,Board Games,
Craftsman%20tool%202nd%20box,Tools,"Tool chests, tool boxes and tool carts - Under $200",
Pack%20of%20razor%20blades,Personal Care and Beauty,Razor - Steel,
Wicker plant stand,Housewares Home Decor,Vases,
Wig,Personal Care and Beauty,"Wigs, Hairpieces - Under $100",
VHF%20Radio,Sporting Goods and Outdoors,Boating Equipment and Supplies,
"3 pairs of prescription glasses Ã???Ã??Ã?Â¢?? 2 sunglasses, 1 clear.",Personal Care and Beauty,"Eye Glasses, Contacts",
Condoms,Personal Care and Beauty,Adult Toys,
22x40 Gold Picture Frame,Housewares Home Decor,Pictures / Frames / Glass for Tabletops,
Subwoofer,Electronics,"TV, Stereos, Speakers, Amplifiers, Etc.",
Rug alamosa B1362 Bassett,Housewares Home Decor,Rugs $500-$999,
Brush%20for%20hair%20paint,Personal Care and Beauty,"Brushes - Clothes, Hair",
throw pillows,Housewares Home Decor,Pillow - Accent,
Equate Allergy Relief Diphenhydramine HCI 25mg Qty  100,Personal Care and Beauty,Medicines,
Rolling Coffee Cart Hodedah kitfchen island,Furniture,Microwave Cart and Stands,
Fur%20Jacket,Clothing and Accessories,Furs,
Bathroom Scale - Health Meter,Personal Care and Beauty,Scales - Bathroom,
3 20' red sparkly magnolias artificial floral,Housewares Home Decor,Artificial Flowers and Fruits,
9%20cube%20storage%20shelf,Housewares Home Decor,Bookends,
Tennis balls,Sporting Goods and Outdoors,Unopened Golf or Tennis Balls,
Wood Chest - Antique,Furniture,Antique,
Euronext%20Real%20Hair%20Wig,Personal Care and Beauty,"Wigs, Hairpieces - $100 - $250",
Gucci Bathrobe,Clothing and Accessories,"Fine Material Leather, Wool, Etc.",
Security%20Bicycle%20Locks,Sporting Goods and Outdoors,Camping Equipment & Supplies,
%22Girls%20Just%20Want%20To%20Have%20Fun%22%20DVD,Electronics,"DVD, Blu-Ray Player & DVR",
1 blue sponge,Housewares Home Decor,"House-keeping items, Mops, Brooms, Pails Etc.",
"100%25%20cottonoriental%20rug,%2010x12%20(handmade%20in%20Afganistan)",Housewares Home Decor,Rugs $500-$999,
Swarosvki%20Binoculars,Sporting Goods and Outdoors,Binoculars,
2 lg white onions,Food Supplies,Canned - Commercial & Home,
chair,Furniture,Hardwood Furniture,
Round%20area%20rug%20Kane%20carpet%20(laundry%20room),Housewares Home Decor,Rugs $500-$999,
steepleton pool table vintage,Sporting Goods and Outdoors,Pool & Billiard Tables Low to Average Quality,
YAUFEY dehumidifiers,Appliances,Major Appliances Over $200 (except for below),
20%22%20round%203%20leg%20particle%20board%20accent%20table%20w/%20glass%20top,Furniture,Particle Board Furniture,
Plexus Bio Cleanse Detox&Cleanse 120 caps,Personal Care and Beauty,Medicines,
clothing%20iron,Housewares Home Decor,Hampers,
Area%20Rug%20-%20From%20Persia,Housewares Home Decor,Rugs Under $500,
Devilbiss Air Power Company 1/2 drive Air Impact,Tools,Pneumatic Tools - Under $200,
Washer%20%26%20dryer,Appliances,Dryer - Electric or Gas,
Cards%20game,Toys and Games,Playing Cards,
Indian%20Agrippa%20Wool%20Rug%208x10,Housewares Home Decor,"Rugs $1,000 or More",
"1 box crown bolt wire nailes 16x1.25"" 1.75oz",Tools,"Specialty Tools - Woodworking, Engineering, Drafting",
DAP Caulk,Tools,"Specialty Tools - Woodworking, Engineering, Drafting",
microwave samsung,Appliances,Microwaves,
Polident%20Denture%20Cleaners%20-%20120%20count,Personal Care and Beauty,Dentures,
remote%20control%20monster%20trucks,Toys and Games,Electric Trains,
Small Electric Heating Pad,Personal Care and Beauty,Heating Pad,
Electric%20Dryer%20Whirlpool%20WGD4800XQ3,Appliances,Dryer - Electric or Gas,
Polywood Adironack Chairs,Furniture,Lawn Furniture,
Fur%20Jacket,Clothing and Accessories,Furs,
Six%20Disposable%20Razor%202%20ct,Personal Care and Beauty,Razor - Steel,
"Klaussner 76"" leather upholstered dual electric  reclining sofa- See receipt",Furniture,Ordinary Furniture,
"DharmaObjects%20Hand%20Carved%20Kadam%20Wood%20Blessing%20Sitting%20Buddha%20Statue%20(6%22%20Tall%20X%203.5%22%20Wide,%20Gautama%20Buddha)",Housewares Home Decor,"Bric-a-brac - Inexpensive Figurines, Sculptures, Ornamental, Wall Hangings Etc.",
Vixen 12 X 80 ARK BWCF,Sporting Goods and Outdoors,Binoculars,
Free%20Fly%20Sweatpants,Clothing and Accessories,"Men, Woman, Children, Nonbinary General Clothing and Accessories",
ac unit,Appliances,Major Appliances Over $200 (except for below),
Hair brush / Comb,Personal Care and Beauty,"Brushes - Clothes, Hair",
mirrored place mat,Housewares Home Decor,"Carpet Runner, Mats & Outdoor",
Area%20Rug%2011x12%20Kane%20Carpet%20(Living%20Room),Housewares Home Decor,"Rugs $1,000 or More",
Pure%20silk%20razor,Personal Care and Beauty,Razor - Steel,
Pack%20of%20ciggarrettes,Personal Care and Beauty,"Pipes, Vapes, Supplies Smoking",
dryer whirlpool set,Appliances,Dryer - Electric or Gas,
1%20white%20silk%20lamp%20shade,Housewares Home Decor,Lamp Shade,
Metal%20golden%20container,Furniture,Military Display Cases,
Taxidermy Alaskan Ram,Housewares Home Decor,Taxidermy Items,
303 British WWII rifle,Sporting Goods and Outdoors,Collectable Firearm,
1 small black umbrella,Clothing and Accessories,Umbrella,
Phone%20Apple%20IPH%2015,Electronics,Mobile Telephones,
2%22%20Hole%20Saw,Tools,Power Tools & Accessories - Under $100,
Mens Dress Shirts,Clothing and Accessories,"Formal Wear, Wedding Gowns, Christening Outfits",
remote%20control%20monster%20trucks,Toys and Games,Electric Trains,
"Libbey 2917 12.5 oz Candle Container, Case of 36",Housewares Home Decor,Vases,
Byte%20dental%20straightener%20kit,Personal Care and Beauty,Dental Equipment,
Picture%20Frames%208x10,Housewares Home Decor,Pictures / Frames / Glass for Tabletops,
Squishmallow Leopard,Toys and Games,Stuffed Animals,
Wooden End Tables from HomeGoods,Furniture,"Marble Lamps, Table Tops etc.",
framed pencil horse drawing by fireplace native american pencil,Housewares Home Decor,"Paintings, Pictures, Signed & Numbered, Prints, Etchings Etc. Under $1000",
